date,aggregator,candidate,value
2024-08-07,Average,Trump,0.45
2024-08-08,538,Harris,0.454
2024-08-08,538,Trump,0.433
2024-08-08,NS,Harris,0.464
2024-08-08,NS,Trump,0.443
2024-08-08,NYT,Harris,0.47
2024-08-08,NYT,Trump,0.46
2024-08-08,RCP,Harris,0.476
2024-08-08,RCP,Trump,0.471
2024-08-08,Economist,Harris,0.49
2024-08-08,Economist,Trump,0.45
2024-08-08,Average,Harris,0.471
2024-08-08,Average,Trump,0.451
2024-08-09,538,Harris,0.455
2024-08-09,538,Trump,0.434
2024-08-09,NS,Harris,0.463
2024-08-09,NS,Trump,0.439
2024-08-09,NYT,Harris,0.47
2024-08-09,NYT,Trump,0.46
2024-08-09,RCP,Harris,0.476
2024-08-09,RCP,Trump,0.471
2024-08-09,Economist,Harris,0.49
2024-08-09,Economist,Trump,0.45
2024-08-09,Average,Harris,0.471
2024-08-09,Average,Trump,0.451
2024-08-10,538,Harris,0.457
2024-08-10,538,Trump,0.434
2024-08-10,NS,Harris,0.465
2024-08-10,NS,Trump,0.44
2024-08-10,NYT,Harris,0.47
2024-08-10,NYT,Trump,0.46
2024-08-10,RCP,Harris,0.475
2024-08-10,RCP,Trump,0.471
2024-08-10,Economist,Harris,0.49
2024-08-10,Economist,Trump,0.46
2024-08-10,Average,Harris,0.471
2024-08-10,Average,Trump,0.453
2024-08-11,538,Harris,0.457
2024-08-11,538,Trump,0.434
2024-08-11,NS,Harris,0.465
2024-08-11,NS,Trump,0.439
2024-08-11,NYT,Harris,0.47
2024-08-11,NYT,Trump,0.46
2024-08-11,RCP,Harris,0.476
2024-08-11,RCP,Trump,0.469
2024-08-11,Economist,Harris,0.49
2024-08-11,Economist,Trump,0.46
2024-08-11,Average,Harris,0.472
2024-08-11,Average,Trump,0.452
2024-08-12,538,Harris,0.461
2024-08-12,538,Trump,0.433
2024-08-12,NS,Harris,0.466
2024-08-12,NS,Trump,0.438
2024-08-12,NYT,Harris,0.47
2024-08-12,NYT,Trump,0.46
2024-08-12,RCP,Harris,0.478
2024-08-12,RCP,Trump,0.467
2024-08-12,Economist,Harris,0.49
2024-08-12,Economist,Trump,0.46
2024-08-12,Average,Harris,0.473
2024-08-12,Average,Trump,0.452
2024-08-13,538,Harris,0.461
2024-08-13,538,Trump,0.434
2024-08-13,NS,Harris,0.468
2024-08-13,NS,Trump,0.437
2024-08-13,NYT,Harris,0.47
2024-08-13,NYT,Trump,0.46
2024-08-13,RCP,Harris,0.479
2024-08-13,RCP,Trump,0.47
2024-08-13,Economist,Harris,0.49
2024-08-13,Economist,Trump,0.46
2024-08-13,Average,Harris,0.474
2024-08-13,Average,Trump,0.452
2024-08-14,538,Harris,0.462
2024-08-14,538,Trump,0.436
2024-08-14,NS,Harris,0.469
2024-08-14,NS,Trump,0.438
2024-08-14,NYT,Harris,0.47
2024-08-14,NYT,Trump,0.46
2024-08-14,RCP,Harris,0.48
2024-08-14,RCP,Trump,0.471
2024-08-14,Economist,Harris,0.49
2024-08-14,Economist,Trump,0.46
2024-08-14,Average,Harris,0.474
2024-08-14,Average,Trump,0.453
2024-08-15,538,Harris,0.463
2024-08-15,538,Trump,0.435
2024-08-15,NS,Harris,0.469
2024-08-15,NS,Trump,0.441
2024-08-15,NYT,Harris,0.48
2024-08-15,NYT,Trump,0.46
2024-08-15,RCP,Harris,0.479
2024-08-15,RCP,Trump,0.469
2024-08-15,Economist,Harris,0.49
2024-08-15,Economist,Trump,0.46
2024-08-15,Average,Harris,0.476
2024-08-15,Average,Trump,0.453
2024-08-16,538,Harris,0.463
2024-08-16,538,Trump,0.437
2024-08-16,NS,Harris,0.467
2024-08-16,NS,Trump,0.443
2024-08-16,NYT,Harris,0.48
2024-08-16,NYT,Trump,0.47
2024-08-16,RCP,Harris,0.479
2024-08-16,RCP,Trump,0.469
2024-08-16,Economist,Harris,0.49
2024-08-16,Economist,Trump,0.46
2024-08-16,Average,Harris,0.476
2024-08-16,Average,Trump,0.456
2024-08-17,538,Harris,0.462
2024-08-17,538,Trump,0.437
2024-08-17,NS,Harris,0.467
2024-08-17,NS,Trump,0.444
2024-08-17,NYT,Harris,0.48
2024-08-17,NYT,Trump,0.47
2024-08-17,RCP,Harris,0.48
2024-08-17,RCP,Trump,0.468
2024-08-17,Economist,Harris,0.49
2024-08-17,Economist,Trump,0.46
2024-08-17,Average,Harris,0.476
2024-08-17,Average,Trump,0.456
2024-08-18,538,Harris,0.464
2024-08-18,538,Trump,0.438
2024-08-18,NS,Harris,0.471
2024-08-18,NS,Trump,0.446
2024-08-18,NYT,Harris,0.48
2024-08-18,NYT,Trump,0.47
2024-08-18,RCP,Harris,0.481
2024-08-18,RCP,Trump,0.467
2024-08-18,Economist,Harris,0.49
2024-08-18,Economist,Trump,0.46
2024-08-18,Average,Harris,0.477
2024-08-18,Average,Trump,0.456
2024-08-19,538,Harris,0.467
2024-08-19,538,Trump,0.438
2024-08-19,NS,Harris,0.47
2024-08-19,NS,Trump,0.447
2024-08-19,NYT,Harris,0.48
2024-08-19,NYT,Trump,0.46
2024-08-19,RCP,Harris,0.482
2024-08-19,RCP,Trump,0.467
2024-08-19,Economist,Harris,0.49
2024-08-19,Economist,Trump,0.46
2024-08-19,Average,Harris,0.478
2024-08-19,Average,Trump,0.454
2024-08-20,538,Harris,0.466
2024-08-20,538,Trump,0.438
2024-08-20,NS,Harris,0.47
2024-08-20,NS,Trump,0.445
2024-08-20,NYT,Harris,0.48
2024-08-20,NYT,Trump,0.46
2024-08-20,RCP,Harris,0.483
2024-08-20,RCP,Trump,0.467
2024-08-20,Economist,Harris,0.5
2024-08-20,Economist,Trump,0.46
2024-08-20,Average,Harris,0.48
2024-08-20,Average,Trump,0.454
2024-08-21,538,Harris,0.47
2024-08-21,538,Trump,0.437
2024-08-21,NS,Harris,0.47
2024-08-21,NS,Trump,0.447
2024-08-21,NYT,Harris,0.48
2024-08-21,NYT,Trump,0.46
2024-08-21,RCP,Harris,0.483
2024-08-21,RCP,Trump,0.466
2024-08-21,Economist,Harris,0.5
2024-08-21,Economist,Trump,0.46
2024-08-21,Average,Harris,0.481
2024-08-21,Average,Trump,0.454
2024-08-22,538,Harris,0.472
2024-08-22,538,Trump,0.436
2024-08-22,NS,Harris,0.469
2024-08-22,NS,Trump,0.444
2024-08-22,NYT,Harris,0.48
2024-08-22,NYT,Trump,0.46
2024-08-22,RCP,Harris,0.484
2024-08-22,RCP,Trump,0.469
2024-08-22,Economist,Harris,0.5
2024-08-22,Economist,Trump,0.46
2024-08-22,Average,Harris,0.481
2024-08-22,Average,Trump,0.454
2024-08-23,538,Harris,0.473
2024-08-23,538,Trump,0.436
2024-08-23,NS,Harris,0.48
2024-08-23,NS,Trump,0.437
2024-08-23,NYT,Harris,0.48
2024-08-23,NYT,Trump,0.46
2024-08-23,RCP,Harris,0.485
2024-08-23,RCP,Trump,0.469
2024-08-23,Economist,Harris,0.5
2024-08-23,Economist,Trump,0.46
2024-08-23,Average,Harris,0.484
2024-08-23,Average,Trump,0.452
2024-08-24,538,Harris,0.472
2024-08-24,538,Trump,0.438
2024-08-24,NS,Harris,0.488
2024-08-24,NS,Trump,0.448
2024-08-24,NYT,Harris,0.48
2024-08-24,NYT,Trump,0.46
2024-08-24,RCP,Harris,0.485
2024-08-24,RCP,Trump,0.468
2024-08-24,Economist,Harris,0.5
2024-08-24,Economist,Trump,0.46
2024-08-24,Average,Harris,0.485
2024-08-24,Average,Trump,0.455
2024-08-25,538,Harris,0.471
2024-08-25,538,Trump,0.437
2024-08-25,NS,Harris,0.489
2024-08-25,NS,Trump,0.448
2024-08-25,NYT,Harris,0.48
2024-08-25,NYT,Trump,0.46
2024-08-25,RCP,Harris,0.484
2024-08-25,RCP,Trump,0.467
2024-08-25,Economist,Harris,0.5
2024-08-25,Economist,Trump,0.46
2024-08-25,Average,Harris,0.485
2024-08-25,Average,Trump,0.454
2024-08-26,538,Harris,0.472
2024-08-26,538,Trump,0.438
2024-08-26,NS,Harris,0.489
2024-08-26,NS,Trump,0.448
2024-08-26,NYT,Harris,0.48
2024-08-26,NYT,Trump,0.46
2024-08-26,RCP,Harris,0.483
2024-08-26,RCP,Trump,0.466
2024-08-26,Economist,Harris,0.5
2024-08-26,Economist,Trump,0.46
2024-08-26,Average,Harris,0.485
2024-08-26,Average,Trump,0.454
2024-08-27,538,Harris,0.472
2024-08-27,538,Trump,0.438
2024-08-27,NS,Harris,0.492
2024-08-27,NS,Trump,0.454
2024-08-27,NYT,Harris,0.48
2024-08-27,NYT,Trump,0.46
2024-08-27,RCP,Harris,0.483
2024-08-27,RCP,Trump,0.466
2024-08-27,Economist,Harris,0.5
2024-08-27,Economist,Trump,0.46
2024-08-27,Average,Harris,0.485
2024-08-27,Average,Trump,0.456
2024-08-28,538,Harris,0.473
2024-08-28,538,Trump,0.438
2024-08-28,NS,Harris,0.49
2024-08-28,NS,Trump,0.455
2024-08-28,NYT,Harris,0.49
2024-08-28,NYT,Trump,0.46
2024-08-28,RCP,Harris,0.482
2024-08-28,RCP,Trump,0.464
2024-08-28,Economist,Harris,0.5
2024-08-28,Economist,Trump,0.46
2024-08-28,Average,Harris,0.487
2024-08-28,Average,Trump,0.455
2024-08-29,538,Harris,0.477
2024-08-29,538,Trump,0.443
2024-08-29,NS,Harris,0.488
2024-08-29,NS,Trump,0.45
2024-08-29,NYT,Harris,0.49
2024-08-29,NYT,Trump,0.46
2024-08-29,RCP,Harris,0.48
2024-08-29,RCP,Trump,0.462
2024-08-29,Economist,Harris,0.5
2024-08-29,Economist,Trump,0.46
2024-08-29,Average,Harris,0.487
2024-08-29,Average,Trump,0.455
2024-08-30,538,Harris,0.477
2024-08-30,538,Trump,0.446
2024-08-30,NS,Harris,0.49
2024-08-30,NS,Trump,0.457
2024-08-30,NYT,Harris,0.49
2024-08-30,NYT,Trump,0.46
2024-08-30,RCP,Harris,0.481
2024-08-30,RCP,Trump,0.463
2024-08-30,Economist,Harris,0.5
2024-08-30,Economist,Trump,0.46
2024-08-30,Average,Harris,0.488
2024-08-30,Average,Trump,0.457
2024-08-31,538,Harris,0.478
2024-08-31,538,Trump,0.446
2024-08-31,NS,Harris,0.491
2024-08-31,NS,Trump,0.456
2024-08-31,NYT,Harris,0.49
2024-08-31,NYT,Trump,0.46
2024-08-31,RCP,Harris,0.481
2024-08-31,RCP,Trump,0.463
2024-08-31,Economist,Harris,0.5
2024-08-31,Economist,Trump,0.46
2024-08-31,Average,Harris,0.488
2024-08-31,Average,Trump,0.457
2024-09-01,538,Harris,0.478
2024-09-01,538,Trump,0.447
2024-09-01,NS,Harris,0.492
2024-09-01,NS,Trump,0.457
2024-09-01,NYT,Harris,0.49
2024-09-01,NYT,Trump,0.46
2024-09-01,RCP,Harris,0.481
2024-09-01,RCP,Trump,0.462
2024-09-01,Economist,Harris,0.5
2024-09-01,Economist,Trump,0.46
2024-09-01,Average,Harris,0.488
2024-09-01,Average,Trump,0.457
2024-09-02,538,Harris,0.478
2024-09-02,538,Trump,0.447
2024-09-02,NS,Harris,0.49
2024-09-02,NS,Trump,0.457
2024-09-02,NYT,Harris,0.49
2024-09-02,NYT,Trump,0.46
2024-09-02,RCP,Harris,0.481
2024-09-02,RCP,Trump,0.462
2024-09-02,Economist,Harris,0.49
2024-09-02,Economist,Trump,0.47
2024-09-02,Average,Harris,0.486
2024-09-02,Average,Trump,0.459
2024-09-03,538,Harris,0.478
2024-09-03,538,Trump,0.447
2024-09-03,NS,Harris,0.489
2024-09-03,NS,Trump,0.455
2024-09-03,NYT,Harris,0.49
2024-09-03,NYT,Trump,0.46
2024-09-03,RCP,Harris,0.481
2024-09-03,RCP,Trump,0.462
2024-09-03,Economist,Harris,0.49
2024-09-03,Economist,Trump,0.47
2024-09-03,Average,Harris,0.486
2024-09-03,Average,Trump,0.459
2024-09-04,538,Harris,0.478
2024-09-04,538,Trump,0.448
2024-09-04,NS,Harris,0.489
2024-09-04,NS,Trump,0.455
2024-09-04,NYT,Harris,0.49
2024-09-04,NYT,Trump,0.46
2024-09-04,RCP,Harris,0.481
2024-09-04,RCP,Trump,0.463
2024-09-04,Economist,Harris,0.49
2024-09-04,Economist,Trump,0.47
2024-09-04,Average,Harris,0.486
2024-09-04,Average,Trump,0.459
2024-09-05,538,Harris,0.48
2024-09-05,538,Trump,0.45
2024-09-05,NS,Harris,0.49
2024-09-05,NS,Trump,0.458
2024-09-05,NYT,Harris,0.49
2024-09-05,NYT,Trump,0.46
2024-09-05,RCP,Harris,0.483
2024-09-05,RCP,Trump,0.465
2024-09-05,Economist,Harris,0.49
2024-09-05,Economist,Trump,0.47
2024-09-05,Average,Harris,0.487
2024-09-05,Average,Trump,0.461
2024-09-06,538,Harris,0.482
2024-09-06,538,Trump,0.452
2024-09-06,NS,Harris,0.49
2024-09-06,NS,Trump,0.46
2024-09-06,NYT,Harris,0.49
2024-09-06,NYT,Trump,0.46
2024-09-06,RCP,Harris,0.483
2024-09-06,RCP,Trump,0.465
2024-09-06,Economist,Harris,0.49
2024-09-06,Economist,Trump,0.46
2024-09-06,Average,Harris,0.487
2024-09-06,Average,Trump,0.459
2024-09-07,538,Harris,0.482
2024-09-07,538,Trump,0.452
2024-09-07,NS,Harris,0.49
2024-09-07,NS,Trump,0.46
2024-09-07,NYT,Harris,0.49
2024-09-07,NYT,Trump,0.46
2024-09-07,RCP,Harris,0.481
2024-09-07,RCP,Trump,0.467
2024-09-07,Economist,Harris,0.49
2024-09-07,Economist,Trump,0.46
2024-09-07,Average,Harris,0.487
2024-09-07,Average,Trump,0.46
2024-09-08,538,Harris,0.481
2024-09-08,538,Trump,0.455
2024-09-08,NS,Harris,0.487
2024-09-08,NS,Trump,0.462
2024-09-08,NYT,Harris,0.49
2024-09-08,NYT,Trump,0.47
2024-09-08,RCP,Harris,0.483
2024-09-08,RCP,Trump,0.47
2024-09-08,Economist,Harris,0.49
2024-09-08,Economist,Trump,0.46
2024-09-08,Average,Harris,0.486
2024-09-08,Average,Trump,0.463
2024-09-09,538,Harris,0.482
2024-09-09,538,Trump,0.457
2024-09-09,NS,Harris,0.489
2024-09-09,NS,Trump,0.466
2024-09-09,NYT,Harris,0.49
2024-09-09,NYT,Trump,0.47
2024-09-09,RCP,Harris,0.484
2024-09-09,RCP,Trump,0.472
2024-09-09,Economist,Harris,0.49
2024-09-09,Economist,Trump,0.46
2024-09-09,Average,Harris,0.487
2024-09-09,Average,Trump,0.465
2024-09-10,538,Harris,0.482
2024-09-10,538,Trump,0.458
2024-09-10,NS,Harris,0.489
2024-09-10,NS,Trump,0.467
2024-09-10,NYT,Harris,0.49
2024-09-10,NYT,Trump,0.47
2024-09-10,RCP,Harris,0.484
2024-09-10,RCP,Trump,0.473
2024-09-10,Economist,Harris,0.49
2024-09-10,Economist,Trump,0.46
2024-09-10,Average,Harris,0.487
2024-09-10,Average,Trump,0.466
2024-09-11,538,Harris,0.481
2024-09-11,538,Trump,0.457
2024-09-11,NS,Harris,0.487
2024-09-11,NS,Trump,0.467
2024-09-11,NYT,Harris,0.49
2024-09-11,NYT,Trump,0.47
2024-09-11,RCP,Harris,0.486
2024-09-11,RCP,Trump,0.472
2024-09-11,Economist,Harris,0.49
2024-09-11,Economist,Trump,0.46
2024-09-11,Average,Harris,0.487
2024-09-11,Average,Trump,0.465
2024-09-12,538,Harris,0.482
2024-09-12,538,Trump,0.456
2024-09-12,NS,Harris,0.487
2024-09-12,NS,Trump,0.468
2024-09-12,NYT,Harris,0.49
2024-09-12,NYT,Trump,0.46
2024-09-12,RCP,Harris,0.485
2024-09-12,RCP,Trump,0.47
2024-09-12,Economist,Harris,0.49
2024-09-12,Economist,Trump,0.46
2024-09-12,Average,Harris,0.487
2024-09-12,Average,Trump,0.463
2024-09-13,538,Harris,0.481
2024-09-13,538,Trump,0.453
2024-09-13,NS,Harris,0.483
2024-09-13,NS,Trump,0.462
2024-09-13,NYT,Harris,0.49
2024-09-13,NYT,Trump,0.46
2024-09-13,RCP,Harris,0.486
2024-09-13,RCP,Trump,0.469
2024-09-13,Economist,Harris,0.492
2024-09-13,Economist,Trump,0.462
2024-09-13,Average,Harris,0.49
2024-09-13,Average,Trump,0.462
2024-09-14,538,Harris,0.481
2024-09-14,538,Trump,0.453
2024-09-14,NS,Harris,0.486
2024-09-14,NS,Trump,0.462
2024-09-14,NYT,Harris,0.49
2024-09-14,NYT,Trump,0.46
2024-09-14,Average,Harris,0.486
2024-09-14,Average,Trump,0.458
2024-09-15,538,Harris,0.481
2024-09-15,538,Trump,0.454
2024-09-15,NS,Harris,0.486
2024-09-15,NS,Trump,0.464
2024-09-15,NYT,Harris,0.49
2024-09-15,NYT,Trump,0.47
2024-09-15,RCP,Harris,0.49
2024-09-15,RCP,Trump,0.473
2024-09-15,Economist,Harris,0.497
2024-09-15,Economist,Trump,0.463
2024-09-15,Average,Harris,0.487
2024-09-15,Average,Trump,0.463
2024-09-16,538,Harris,0.48
2024-09-16,538,Trump,0.454
2024-09-16,NS,Harris,0.486
2024-09-16,NS,Trump,0.464
2024-09-16,NYT,Harris,0.49
2024-09-16,NYT,Trump,0.464
2024-09-16,RCP,Harris,0.49
2024-09-16,RCP,Trump,0.473
2024-09-16,Economist,Harris,0.504
2024-09-16,Economist,Trump,0.46
2024-09-16,Average,Harris,0.493
2024-09-16,Average,Trump,0.462
2024-09-17,538,Harris,0.483
2024-09-17,538,Trump,0.453
2024-09-17,NS,Harris,0.487
2024-09-17,NS,Trump,0.462
2024-09-17,NYT,Harris,0.5
2024-09-17,NYT,Trump,0.46
2024-09-17,RCP,Harris,0.491
2024-09-17,RCP,Trump,0.473
2024-09-17,Economist,Harris,0.501
2024-09-17,Economist,Trump,0.456
2024-09-17,Average,Harris,0.491
2024-09-17,Average,Trump,0.462
2024-09-18,538,Harris,0.484
2024-09-18,538,Trump,0.452
2024-09-18,NS,Harris,0.49
2024-09-18,NS,Trump,0.46
2024-09-18,NYT,Harris,0.5
2024-09-18,NYT,Trump,0.46
2024-09-18,RCP,Harris,0.493
2024-09-18,RCP,Trump,0.473
2024-09-18,Average,Harris,0.491
2024-09-18,Average,Trump,0.462
2024-09-19,538,Harris,0.484
2024-09-19,538,Trump,0.455
2024-09-19,NS,Harris,0.49
2024-09-19,NS,Trump,0.46
2024-09-19,NYT,Harris,0.492
2024-09-19,NYT,Trump,0.47
2024-09-19,RCP,Harris,0.493
2024-09-19,RCP,Trump,0.474
2024-09-19,Economist,Harris,0.499
2024-09-19,Economist,Trump,0.458
2024-09-19,Average,Harris,0.492
2024-09-19,Average,Trump,0.463
2024-09-20,538,Harris,0.483
2024-09-20,538,Trump,0.456
2024-09-20,NS,Harris,0.489
2024-09-20,NS,Trump,0.462
2024-09-20,NYT,Harris,0.49
2024-09-20,NYT,Trump,0.47
2024-09-20,RCP,Harris,0.493
2024-09-20,RCP,Trump,0.474
2024-09-20,Average,Harris,0.49
2024-09-20,Average,Trump,0.467
2024-09-21,NS,Harris,0.489
2024-09-21,NS,Trump,0.461
2024-09-21,RCP,Harris,0.493
2024-09-21,RCP,Trump,0.474
2024-09-21,Average,Harris,0.491
2024-09-21,Average,Trump,0.468
