date,candidate,fivethirtyeight,realclearpolling,nyt,natesilver,economist,created_time
2024-08-22,Trump,0.437,0.448,0.44,0.447,,2024-08-22 14:05:34
2024-08-22,Harris,0.47,0.465,0.46,0.47,,2024-08-22 20:08:11
2024-08-22,Trump,0.437,0.446,0.44,0.447,,2024-08-22 20:08:11
2024-08-23,Harris,0.471,0.464,0.46,0.469,,2024-08-23 02:13:32
2024-08-23,Trump,0.437,0.444,0.44,0.444,,2024-08-23 02:13:32
2024-08-23,Harris,0.472,0.464,0.46,0.469,,2024-08-23 08:04:53
2024-08-23,Trump,0.436,0.444,0.44,0.444,,2024-08-23 08:04:53
2024-08-23,Harris,0.472,0.464,0.46,0.469,,2024-08-23 14:05:35
2024-08-23,Trump,0.436,0.444,0.44,0.444,,2024-08-23 14:05:35
2024-08-23,Harris,0.472,0.464,0.46,0.469,,2024-08-23 20:08:07
2024-08-23,Trump,0.435,0.444,0.44,0.444,,2024-08-23 20:08:07
2024-08-24,Harris,0.473,0.464,0.49,0.469,0.479,2024-08-24 02:12:55
2024-08-24,Trump,0.436,0.444,0.46,0.444,0.449,2024-08-24 02:12:55
2024-08-24,Harris,0.473,0.464,0.49,0.48,0.479,2024-08-24 08:04:50
2024-08-24,Trump,0.436,0.444,0.46,0.437,0.449,2024-08-24 08:04:50
2024-08-24,Harris,0.472,0.464,0.49,0.48,0.479,2024-08-24 20:04:27
2024-08-24,Trump,0.436,0.444,0.46,0.437,0.449,2024-08-24 20:04:27
2024-08-25,Harris,0.472,0.464,0.49,0.488,0.479,2024-08-25 02:15:24
2024-08-25,Trump,0.436,0.444,0.46,0.448,0.449,2024-08-25 02:15:24
2024-08-25,Harris,0.472,0.464,0.49,0.488,0.479,2024-08-25 08:04:39
2024-08-25,Trump,0.436,0.444,0.46,0.448,0.449,2024-08-25 08:04:39
2024-08-25,Harris,0.472,0.464,0.49,0.488,0.479,2024-08-25 14:05:27
2024-08-25,Trump,0.436,0.444,0.46,0.448,0.449,2024-08-25 14:05:27
2024-08-25,Harris,0.472,0.464,0.49,0.488,0.479,2024-08-25 20:04:02
2024-08-25,Trump,0.437,0.444,0.46,0.448,0.449,2024-08-25 20:04:02
2024-08-25,Harris,0.472,0.484,0.49,0.488,0.479,2024-08-25 21:47:26
2024-08-25,Trump,0.437,0.469,0.46,0.448,0.449,2024-08-25 21:47:26
2024-08-26,Harris,0.472,0.484,0.49,0.488,0.479,2024-08-26 02:13:50
2024-08-26,Trump,0.437,0.469,0.46,0.448,0.449,2024-08-26 02:13:50
2024-08-26,Harris,0.472,0.484,0.49,0.488,0.479,2024-08-26 08:05:28
2024-08-26,Trump,0.437,0.469,0.46,0.448,0.449,2024-08-26 08:05:28
