date,aggregator,candidate,value,date_added,error
2024-07-30,Economist,Harris,0.48,2024-09-14 01:24:27.274399,
2024-07-30,Economist,Trump,0.46,2024-09-14 01:24:27.274367,
2024-07-30,NS,Harris,0.441,2024-09-14 01:24:05.276189,
2024-07-30,NS,Trump,0.445,2024-09-14 01:24:05.276189,
2024-07-30,NYT,Harris,0.46,2024-09-14 01:24:05.278215,
2024-07-30,NYT,Trump,0.47,2024-09-14 01:24:05.278294,
2024-07-30,RCP,Harris,0.461,2024-09-14 01:17:56.204124,
2024-07-30,RCP,Trump,0.481,2024-09-14 01:17:56.204410,
2024-07-31,538,Harris,0.447,2024-09-14 01:15:27.480255,
2024-07-31,538,Trump,0.435,2024-09-14 01:15:27.480325,
2024-07-31,Economist,Harris,0.48,2024-09-14 01:24:27.274463,
2024-07-31,Economist,Trump,0.46,2024-09-14 01:24:27.274432,
2024-07-31,NS,Harris,0.444,2024-09-14 01:24:05.276189,
2024-07-31,NS,Trump,0.442,2024-09-14 01:24:05.276189,
2024-07-31,NYT,Harris,0.46,2024-09-14 01:24:05.278379,
2024-07-31,NYT,Trump,0.47,2024-09-14 01:24:05.278457,
2024-07-31,RCP,Harris,0.463,2024-09-14 01:17:56.204632,
2024-07-31,RCP,Trump,0.48,2024-09-14 01:17:56.204927,
2024-08-01,538,Harris,0.449,2024-09-14 01:15:27.480402,
2024-08-01,538,Trump,0.437,2024-09-14 01:15:27.480473,
2024-08-01,Economist,Harris,0.48,2024-09-14 01:24:27.274541,
2024-08-01,Economist,Trump,0.46,2024-09-14 01:24:27.274508,
2024-08-01,NS,Harris,0.448,2024-09-14 01:24:05.276189,
2024-08-01,NS,Trump,0.441,2024-09-14 01:24:05.276189,
2024-08-01,NYT,Harris,0.46,2024-09-14 01:24:05.278548,
2024-08-01,NYT,Trump,0.47,2024-09-14 01:24:05.278629,
2024-08-01,RCP,Harris,0.465,2024-09-14 01:17:56.205138,
2024-08-01,RCP,Trump,0.477,2024-09-14 01:17:56.205537,
2024-08-02,538,Harris,0.45,2024-09-14 01:15:27.480568,
2024-08-02,538,Trump,0.436,2024-09-14 01:15:27.480661,
2024-08-02,Economist,Harris,0.49,2024-09-14 01:24:27.274604,
2024-08-02,Economist,Trump,0.46,2024-09-14 01:24:27.274573,
2024-08-02,NS,Harris,0.45,2024-09-14 01:24:05.276189,
2024-08-02,NS,Trump,0.439,2024-09-14 01:24:05.276189,
2024-08-02,NYT,Harris,0.46,2024-09-14 01:24:05.278709,
2024-08-02,NYT,Trump,0.47,2024-09-14 01:24:05.278787,
2024-08-02,RCP,Harris,0.468,2024-09-14 01:17:56.205708,
2024-08-02,RCP,Trump,0.478,2024-09-14 01:17:56.206181,
2024-08-03,538,Harris,0.451,2024-09-14 01:15:27.480736,
2024-08-03,538,Trump,0.436,2024-09-14 01:15:27.480806,
2024-08-03,Economist,Harris,0.49,2024-09-14 01:24:27.274664,
2024-08-03,Economist,Trump,0.46,2024-09-14 01:24:27.274634,
2024-08-03,NS,Harris,0.451,2024-09-14 01:24:05.276189,
2024-08-03,NS,Trump,0.44,2024-09-14 01:24:05.276189,
2024-08-03,NYT,Harris,0.46,2024-09-14 01:24:05.278867,
2024-08-03,NYT,Trump,0.47,2024-09-14 01:24:05.278944,
2024-08-03,RCP,Harris,0.469,2024-09-14 01:17:56.206483,
2024-08-03,RCP,Trump,0.477,2024-09-14 01:17:56.206821,
2024-08-04,538,Harris,0.453,2024-09-14 01:15:27.480876,
2024-08-04,538,Trump,0.437,2024-09-14 01:15:27.481020,
2024-08-04,Economist,Harris,0.49,2024-09-14 01:24:27.274725,
2024-08-04,Economist,Trump,0.46,2024-09-14 01:24:27.274695,
2024-08-04,NS,Harris,0.455,2024-09-14 01:24:05.276189,
2024-08-04,NS,Trump,0.441,2024-09-14 01:24:05.276189,
2024-08-04,NYT,Harris,0.47,2024-09-14 01:24:05.279023,
2024-08-04,NYT,Trump,0.47,2024-09-14 01:24:05.279100,
2024-08-04,RCP,Harris,0.469,2024-09-14 01:17:56.207206,
2024-08-04,RCP,Trump,0.473,2024-09-14 01:17:56.207364,
2024-08-05,538,Harris,0.455,2024-09-14 01:15:27.481091,
2024-08-05,538,Trump,0.435,2024-09-14 01:15:27.481159,
2024-08-05,Economist,Harris,0.49,2024-09-14 01:24:27.274786,
2024-08-05,Economist,Trump,0.46,2024-09-14 01:24:27.274755,
2024-08-05,NS,Harris,0.457,2024-09-14 01:24:05.276189,
2024-08-05,NS,Trump,0.438,2024-09-14 01:24:05.276189,
2024-08-05,NYT,Harris,0.47,2024-09-14 01:24:05.279177,
2024-08-05,NYT,Trump,0.46,2024-09-14 01:24:05.279253,
2024-08-05,RCP,Harris,0.47,2024-09-14 01:17:56.207680,
2024-08-05,RCP,Trump,0.468,2024-09-14 01:17:56.207568,
2024-08-06,538,Harris,0.451,2024-09-14 01:15:27.481226,
2024-08-06,538,Trump,0.434,2024-09-14 01:15:27.481291,
2024-08-06,Economist,Harris,0.49,2024-09-14 01:24:27.274847,
2024-08-06,Economist,Trump,0.45,2024-09-14 01:24:27.274816,
2024-08-06,NS,Harris,0.457,2024-09-14 01:24:05.276189,
2024-08-06,NS,Trump,0.436,2024-09-14 01:24:05.276189,
2024-08-06,NYT,Harris,0.47,2024-09-14 01:24:05.279407,
2024-08-06,NYT,Trump,0.47,2024-09-14 01:24:05.279330,
2024-08-06,RCP,Harris,0.474,2024-09-14 01:17:56.207858,
2024-08-06,RCP,Trump,0.469,2024-09-14 01:17:56.207772,
2024-08-07,538,Harris,0.453,2024-09-14 01:15:27.481358,
2024-08-07,538,Trump,0.434,2024-09-14 01:15:27.481424,
2024-08-07,Economist,Harris,0.49,2024-09-14 01:24:27.274907,
2024-08-07,Economist,Trump,0.45,2024-09-14 01:24:27.274877,
2024-08-07,NS,Harris,0.458,2024-09-14 01:24:05.276189,
2024-08-07,NS,Trump,0.437,2024-09-14 01:24:05.276189,
2024-08-07,NYT,Harris,0.47,2024-09-14 01:24:05.279565,
2024-08-07,NYT,Trump,0.46,2024-09-14 01:24:05.279488,
2024-08-07,RCP,Harris,0.474,2024-09-14 01:17:56.208285,
2024-08-07,RCP,Trump,0.469,2024-09-14 01:17:56.207996,
2024-08-08,538,Harris,0.454,2024-09-14 01:15:27.481489,
2024-08-08,538,Trump,0.433,2024-09-14 01:15:27.481555,
2024-08-08,Economist,Harris,0.49,2024-09-14 01:24:27.274967,
2024-08-08,Economist,Trump,0.45,2024-09-14 01:24:27.274937,
2024-08-08,NS,Harris,0.464,2024-09-14 01:24:05.276189,
2024-08-08,NS,Trump,0.443,2024-09-14 01:24:05.276189,
2024-08-08,NYT,Harris,0.47,2024-09-14 01:24:05.279717,
2024-08-08,NYT,Trump,0.46,2024-09-14 01:24:05.279641,
2024-08-08,RCP,Harris,0.476,2024-09-14 01:17:56.208540,
2024-08-08,RCP,Trump,0.471,2024-09-14 01:17:56.208443,
2024-08-09,538,Harris,0.455,2024-09-14 01:15:27.481620,
2024-08-09,538,Trump,0.434,2024-09-14 01:15:27.481686,
2024-08-09,Economist,Harris,0.49,2024-09-14 01:24:27.275043,
2024-08-09,Economist,Trump,0.45,2024-09-14 01:24:27.274998,
2024-08-09,NS,Harris,0.463,2024-09-14 01:24:05.276189,
2024-08-09,NS,Trump,0.439,2024-09-14 01:24:05.276189,
2024-08-09,NYT,Harris,0.47,2024-09-14 01:24:05.279869,
2024-08-09,NYT,Trump,0.46,2024-09-14 01:24:05.279793,
2024-08-09,RCP,Harris,0.476,2024-09-14 01:17:56.208698,
2024-08-09,RCP,Trump,0.471,2024-09-14 01:17:56.208619,
2024-08-10,538,Harris,0.457,2024-09-14 01:15:27.481756,
2024-08-10,538,Trump,0.434,2024-09-14 01:15:27.481823,
2024-08-10,Economist,Harris,0.49,2024-09-14 01:24:27.275116,
2024-08-10,Economist,Trump,0.46,2024-09-14 01:24:27.275084,
2024-08-10,NS,Harris,0.465,2024-09-14 01:24:05.276189,
2024-08-10,NS,Trump,0.44,2024-09-14 01:24:05.276189,
2024-08-10,NYT,Harris,0.47,2024-09-14 01:24:05.280033,
2024-08-10,NYT,Trump,0.46,2024-09-14 01:24:05.279949,
2024-08-10,RCP,Harris,0.475,2024-09-14 01:17:56.208868,
2024-08-10,RCP,Trump,0.471,2024-09-14 01:17:56.208786,
2024-08-11,538,Harris,0.457,2024-09-14 01:15:27.481891,
2024-08-11,538,Trump,0.434,2024-09-14 01:15:27.481957,
2024-08-11,Economist,Harris,0.49,2024-09-14 01:24:27.275211,
2024-08-11,Economist,Trump,0.46,2024-09-14 01:24:27.275165,
2024-08-11,NS,Harris,0.465,2024-09-14 01:24:05.276189,
2024-08-11,NS,Trump,0.439,2024-09-14 01:24:05.276189,
2024-08-11,NYT,Harris,0.47,2024-09-14 01:24:05.280253,
2024-08-11,NYT,Trump,0.46,2024-09-14 01:24:05.280166,
2024-08-11,RCP,Harris,0.476,2024-09-14 01:17:56.209077,
2024-08-11,RCP,Trump,0.469,2024-09-14 01:17:56.208949,
2024-08-12,538,Harris,0.461,2024-09-14 01:15:27.482024,
2024-08-12,538,Trump,0.433,2024-09-14 01:15:27.482090,
2024-08-12,Economist,Harris,0.49,2024-09-14 01:24:27.275275,
2024-08-12,Economist,Trump,0.46,2024-09-14 01:24:27.275243,
2024-08-12,NS,Harris,0.466,2024-09-14 01:24:05.276189,
2024-08-12,NS,Trump,0.438,2024-09-14 01:24:05.276189,
2024-08-12,NYT,Harris,0.47,2024-09-14 01:24:05.280413,
2024-08-12,NYT,Trump,0.46,2024-09-14 01:24:05.280332,
2024-08-12,RCP,Harris,0.478,2024-09-14 01:17:56.210320,
2024-08-12,RCP,Trump,0.467,2024-09-14 01:17:56.209171,
2024-08-13,538,Harris,0.461,2024-09-14 01:15:27.482157,
2024-08-13,538,Trump,0.434,2024-09-14 01:15:27.482253,
2024-08-13,Economist,Harris,0.49,2024-09-14 01:24:27.275676,
2024-08-13,Economist,Trump,0.46,2024-09-14 01:24:27.275462,
2024-08-13,NS,Harris,0.468,2024-09-14 01:24:05.276189,
2024-08-13,NS,Trump,0.437,2024-09-14 01:24:05.276189,
2024-08-13,NYT,Harris,0.47,2024-09-14 01:24:05.280667,
2024-08-13,NYT,Trump,0.46,2024-09-14 01:24:05.280492,
2024-08-13,RCP,Harris,0.479,2024-09-14 01:17:56.210700,
2024-08-13,RCP,Trump,0.47,2024-09-14 01:17:56.210551,
2024-08-14,538,Harris,0.462,2024-09-14 01:15:27.482334,
2024-08-14,538,Trump,0.436,2024-09-14 01:15:27.482407,
2024-08-14,Economist,Harris,0.49,2024-09-14 01:24:27.275787,
2024-08-14,Economist,Trump,0.46,2024-09-14 01:24:27.275745,
2024-08-14,NS,Harris,0.469,2024-09-14 01:24:05.276189,
2024-08-14,NS,Trump,0.438,2024-09-14 01:24:05.276189,
2024-08-14,NYT,Harris,0.47,2024-09-14 01:24:05.280941,
2024-08-14,NYT,Trump,0.46,2024-09-14 01:24:05.280835,
2024-08-14,RCP,Harris,0.48,2024-09-14 01:17:56.211065,
2024-08-14,RCP,Trump,0.471,2024-09-14 01:17:56.210815,
2024-08-15,538,Harris,0.463,2024-09-14 01:15:27.482606,
2024-08-15,538,Trump,0.435,2024-09-14 01:15:27.482679,
2024-08-15,Economist,Harris,0.49,2024-09-14 01:24:27.275859,
2024-08-15,Economist,Trump,0.46,2024-09-14 01:24:27.275825,
2024-08-15,NS,Harris,0.469,2024-09-14 01:24:05.276189,
2024-08-15,NS,Trump,0.441,2024-09-14 01:24:05.276189,
2024-08-15,NYT,Harris,0.48,2024-09-14 01:24:05.281440,
2024-08-15,NYT,Trump,0.46,2024-09-14 01:24:05.281256,
2024-08-15,RCP,Harris,0.479,2024-09-14 01:17:56.240978,
2024-08-15,RCP,Trump,0.469,2024-09-14 01:17:56.239513,
2024-08-16,538,Harris,0.463,2024-09-14 01:15:27.482749,
2024-08-16,538,Trump,0.437,2024-09-14 01:15:27.482874,
2024-08-16,Economist,Harris,0.49,2024-09-14 01:24:27.275927,
2024-08-16,Economist,Trump,0.46,2024-09-14 01:24:27.275893,
2024-08-16,NS,Harris,0.467,2024-09-14 01:24:05.276189,
2024-08-16,NS,Trump,0.443,2024-09-14 01:24:05.276189,
2024-08-16,NYT,Harris,0.48,2024-09-14 01:24:05.281725,
2024-08-16,NYT,Trump,0.47,2024-09-14 01:24:05.281622,
2024-08-16,RCP,Harris,0.479,2024-09-14 01:17:56.248071,
2024-08-16,RCP,Trump,0.469,2024-09-14 01:17:56.247943,
2024-08-17,538,Harris,0.462,2024-09-14 01:15:27.483089,
2024-08-17,538,Trump,0.437,2024-09-14 01:15:27.483213,
2024-08-17,Economist,Harris,0.49,2024-09-14 01:24:27.275992,
2024-08-17,Economist,Trump,0.46,2024-09-14 01:24:27.275960,
2024-08-17,NS,Harris,0.467,2024-09-14 01:24:05.276189,
2024-08-17,NS,Trump,0.444,2024-09-14 01:24:05.276189,
2024-08-17,NYT,Harris,0.48,2024-09-14 01:24:05.281898,
2024-08-17,NYT,Trump,0.47,2024-09-14 01:24:05.281813,
2024-08-17,RCP,Harris,0.48,2024-09-14 01:17:56.248176,
2024-08-17,RCP,Trump,0.468,2024-09-14 01:17:56.248128,
2024-08-18,538,Harris,0.464,2024-09-14 01:15:27.483313,
2024-08-18,538,Trump,0.438,2024-09-14 01:15:27.483393,
2024-08-18,Economist,Harris,0.49,2024-09-14 01:24:27.276057,
2024-08-18,Economist,Trump,0.46,2024-09-14 01:24:27.276025,
2024-08-18,NS,Harris,0.471,2024-09-14 01:24:05.276189,
2024-08-18,NS,Trump,0.446,2024-09-14 01:24:05.276189,
2024-08-18,NYT,Harris,0.48,2024-09-14 01:24:05.282062,
2024-08-18,NYT,Trump,0.47,2024-09-14 01:24:05.281980,
2024-08-18,RCP,Harris,0.481,2024-09-14 01:17:56.248262,
2024-08-18,RCP,Trump,0.467,2024-09-14 01:17:56.248220,
2024-08-19,538,Harris,0.467,2024-09-14 01:15:27.483467,
2024-08-19,538,Trump,0.438,2024-09-14 01:15:27.483539,
2024-08-19,Economist,Harris,0.49,2024-09-14 01:24:27.276147,
2024-08-19,Economist,Trump,0.46,2024-09-14 01:24:27.276111,
2024-08-19,NS,Harris,0.47,2024-09-14 01:24:05.276189,
2024-08-19,NS,Trump,0.447,2024-09-14 01:24:05.276189,
2024-08-19,NYT,Harris,0.48,2024-09-14 01:24:05.282225,
2024-08-19,NYT,Trump,0.46,2024-09-14 01:24:05.282144,
2024-08-19,RCP,Harris,0.482,2024-09-14 01:17:56.248343,
2024-08-19,RCP,Trump,0.467,2024-09-14 01:17:56.248303,
2024-08-20,538,Harris,0.466,2024-09-14 01:15:27.483609,
2024-08-20,538,Trump,0.438,2024-09-14 01:15:27.483679,
2024-08-20,Economist,Harris,0.5,2024-09-14 01:24:27.276210,
2024-08-20,Economist,Trump,0.46,2024-09-14 01:24:27.276179,
2024-08-20,NS,Harris,0.47,2024-09-14 01:24:05.276189,
2024-08-20,NS,Trump,0.445,2024-09-14 01:24:05.276189,
2024-08-20,NYT,Harris,0.48,2024-09-14 01:24:05.282391,
2024-08-20,NYT,Trump,0.46,2024-09-14 01:24:05.282309,
2024-08-20,RCP,Harris,0.483,2024-09-14 01:17:56.248423,
2024-08-20,RCP,Trump,0.467,2024-09-14 01:17:56.248383,
2024-08-21,538,Harris,0.47,2024-09-14 01:15:27.483749,
2024-08-21,538,Trump,0.437,2024-09-14 01:15:27.483818,
2024-08-21,Economist,Harris,0.5,2024-09-14 01:24:27.276270,
2024-08-21,Economist,Trump,0.46,2024-09-14 01:24:27.276240,
2024-08-21,NS,Harris,0.47,2024-09-14 01:24:05.276189,
2024-08-21,NS,Trump,0.447,2024-09-14 01:24:05.276189,
2024-08-21,NYT,Harris,0.48,2024-09-14 01:24:05.282549,
2024-08-21,NYT,Trump,0.46,2024-09-14 01:24:05.282471,
2024-08-21,RCP,Harris,0.483,2024-09-14 01:17:56.248502,
2024-08-21,RCP,Trump,0.466,2024-09-14 01:17:56.248463,
2024-08-22,538,Harris,0.472,2024-09-14 01:15:27.483886,
2024-08-22,538,Trump,0.436,2024-09-14 01:15:27.483954,
2024-08-22,Economist,Harris,0.5,2024-09-14 01:24:27.276330,
2024-08-22,Economist,Trump,0.46,2024-09-14 01:24:27.276300,
2024-08-22,NS,Harris,0.469,2024-09-14 01:24:05.276189,
2024-08-22,NS,Trump,0.444,2024-09-14 01:24:05.276189,
2024-08-22,NYT,Harris,0.48,2024-09-14 01:24:05.282707,
2024-08-22,NYT,Trump,0.46,2024-09-14 01:24:05.282628,
2024-08-22,RCP,Harris,0.484,2024-09-14 01:17:56.248580,
2024-08-22,RCP,Trump,0.469,2024-09-14 01:17:56.248541,
2024-08-23,538,Harris,0.473,2024-09-14 01:15:27.484022,
2024-08-23,538,Trump,0.436,2024-09-14 01:15:27.484090,
2024-08-23,Economist,Harris,0.5,2024-09-14 01:24:27.276390,
2024-08-23,Economist,Trump,0.46,2024-09-14 01:24:27.276360,
2024-08-23,NS,Harris,0.48,2024-09-14 01:24:05.276189,
2024-08-23,NS,Trump,0.437,2024-09-14 01:24:05.276189,
2024-08-23,NYT,Harris,0.48,2024-09-14 01:24:05.282870,
2024-08-23,NYT,Trump,0.46,2024-09-14 01:24:05.282784,
2024-08-23,RCP,Harris,0.485,2024-09-14 01:17:56.248658,
2024-08-23,RCP,Trump,0.469,2024-09-14 01:17:56.248619,
2024-08-24,538,Harris,0.472,2024-09-14 01:15:27.484158,
2024-08-24,538,Trump,0.438,2024-09-14 01:15:27.484226,
2024-08-24,Economist,Harris,0.5,2024-09-14 01:24:27.276449,
2024-08-24,Economist,Trump,0.46,2024-09-14 01:24:27.276420,
2024-08-24,NS,Harris,0.488,2024-09-14 01:24:05.276189,
2024-08-24,NS,Trump,0.448,2024-09-14 01:24:05.276189,
2024-08-24,NYT,Harris,0.48,2024-09-14 01:24:05.283026,
2024-08-24,NYT,Trump,0.46,2024-09-14 01:24:05.282948,
2024-08-24,RCP,Harris,0.485,2024-09-14 01:17:56.248738,
2024-08-24,RCP,Trump,0.468,2024-09-14 01:17:56.248697,
2024-08-25,538,Harris,0.471,2024-09-14 01:15:27.484294,
2024-08-25,538,Trump,0.437,2024-09-14 01:15:27.484361,
2024-08-25,Economist,Harris,0.5,2024-09-14 01:24:27.276509,
2024-08-25,Economist,Trump,0.46,2024-09-14 01:24:27.276479,
2024-08-25,NS,Harris,0.489,2024-09-14 01:24:05.276189,
2024-08-25,NS,Trump,0.448,2024-09-14 01:24:05.276189,
2024-08-25,NYT,Harris,0.48,2024-09-14 01:24:05.283182,
2024-08-25,NYT,Trump,0.46,2024-09-14 01:24:05.283104,
2024-08-25,RCP,Harris,0.484,2024-09-14 01:17:56.248816,
2024-08-25,RCP,Trump,0.467,2024-09-14 01:17:56.248778,
2024-08-26,538,Harris,0.472,2024-09-14 01:15:27.484429,
2024-08-26,538,Trump,0.438,2024-09-14 01:15:27.484495,
2024-08-26,Economist,Harris,0.5,2024-09-14 01:24:27.276568,
2024-08-26,Economist,Trump,0.46,2024-09-14 01:24:27.276538,
2024-08-26,NS,Harris,0.489,2024-09-14 01:24:05.276189,
2024-08-26,NS,Trump,0.448,2024-09-14 01:24:05.276189,
2024-08-26,NYT,Harris,0.48,2024-09-14 01:24:05.283338,
2024-08-26,NYT,Trump,0.46,2024-09-14 01:24:05.283260,
2024-08-26,RCP,Harris,0.483,2024-09-14 01:17:56.248893,
2024-08-26,RCP,Trump,0.466,2024-09-14 01:17:56.248855,
2024-08-27,538,Harris,0.472,2024-09-14 01:15:27.484564,
2024-08-27,538,Trump,0.438,2024-09-14 01:15:27.484631,
2024-08-27,Economist,Harris,0.5,2024-09-14 01:24:27.276628,
2024-08-27,Economist,Trump,0.46,2024-09-14 01:24:27.276598,
2024-08-27,NS,Harris,0.492,2024-09-14 01:24:05.276189,
2024-08-27,NS,Trump,0.454,2024-09-14 01:24:05.276189,
2024-08-27,NYT,Harris,0.48,2024-09-14 01:24:05.283495,
2024-08-27,NYT,Trump,0.46,2024-09-14 01:24:05.283417,
2024-08-27,RCP,Harris,0.483,2024-09-14 01:17:56.248971,
2024-08-27,RCP,Trump,0.466,2024-09-14 01:17:56.248932,
2024-08-28,538,Harris,0.473,2024-09-14 01:15:27.484698,
2024-08-28,538,Trump,0.438,2024-09-14 01:15:27.484764,
2024-08-28,Economist,Harris,0.5,2024-09-14 01:24:27.276691,
2024-08-28,Economist,Trump,0.46,2024-09-14 01:24:27.276658,
2024-08-28,NS,Harris,0.49,2024-09-14 01:24:05.276189,
2024-08-28,NS,Trump,0.455,2024-09-14 01:24:05.276189,
2024-08-28,NYT,Harris,0.49,2024-09-14 01:24:05.283651,
2024-08-28,NYT,Trump,0.46,2024-09-14 01:24:05.283573,
2024-08-28,RCP,Harris,0.482,2024-09-14 01:17:56.249048,
2024-08-28,RCP,Trump,0.464,2024-09-14 01:17:56.249010,
2024-08-29,538,Harris,0.477,2024-09-14 01:15:27.484832,
2024-08-29,538,Trump,0.443,2024-09-14 01:15:27.484899,
2024-08-29,Economist,Harris,0.5,2024-09-14 01:24:27.276753,
2024-08-29,Economist,Trump,0.46,2024-09-14 01:24:27.276722,
2024-08-29,NS,Harris,0.488,2024-09-14 01:24:05.276189,
2024-08-29,NS,Trump,0.45,2024-09-14 01:24:05.276189,
2024-08-29,NYT,Harris,0.49,2024-09-14 01:24:05.283808,
2024-08-29,NYT,Trump,0.46,2024-09-14 01:24:05.283731,
2024-08-29,RCP,Harris,0.48,2024-09-14 01:17:56.249125,
2024-08-29,RCP,Trump,0.462,2024-09-14 01:17:56.249087,
2024-08-30,538,Harris,0.477,2024-09-14 01:15:27.484965,
2024-08-30,538,Trump,0.446,2024-09-14 01:15:27.485034,
2024-08-30,Economist,Harris,0.5,2024-09-14 01:24:27.276814,
2024-08-30,Economist,Trump,0.46,2024-09-14 01:24:27.276783,
